id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3845404,Mon May 09 2016 15:35:39 GMT-0500 (CDT),5/9/16,2016-05-09 20:35:39 UTC,Central Time (US & Canada),285840,frnndo,2016-08-09 19:52:21 UTC,2019-02-23 20:34:19 UTC,research,,http://conabio.inaturalist.org/observations/3845404,https://static.inaturalist.org/photos/4502836/medium.jpg?1470772352,,,2,0,FALSE,3,21.16386667,-90.04798883,,,,,FALSE,,,Robalo blanco,Centropomus undecimalis,Common Snook,Actinopterygii,49437
3977449,8/17/16 21:36,8/17/16,2016-08-18 00:36:00 UTC,Atlantic Time (Canada),5245,kent_miller,2016-08-28 01:53:51 UTC,2018-07-03 22:49:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/3977449,https://inaturalist-open-data.s3.amazonaws.com/photos/4691608/medium.jpeg?1472348855,,,3,0,FALSE,,24.8384464,-80.7586809,768,768,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
4026328,Sat Sep 03 2016 07:38:56 GMT-0400 (EDT),9/3/16,2016-09-03 11:38:56 UTC,Eastern Time (US & Canada),271184,britton,2016-09-03 19:34:58 UTC,2016-11-28 17:47:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4026328,https://inaturalist-open-data.s3.amazonaws.com/photos/4759185/medium.jpg?1472931324,,,2,0,FALSE,3,26.94517174,-80.07408014,24,24,,,FALSE,,,Common snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
4225577,2016/09/25 3:03 PM EDT,9/25/16,2016-09-25 19:03:00 UTC,Eastern Time (US & Canada),8917,michiko,2016-09-28 20:12:41 UTC,2021-04-08 22:02:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4225577,https://inaturalist-open-data.s3.amazonaws.com/photos/5045478/medium.jpg?1475093549,,,3,0,FALSE,,27.05552481,-82.44256592,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
4910326,Sat Jan 07 2017 14:22:52 GMT-0500 (EST),1/7/17,2017-01-07 19:22:52 UTC,Eastern Time (US & Canada),188584,dc_chadwick,2017-01-08 02:21:50 UTC,2017-01-08 20:12:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4910326,https://inaturalist-open-data.s3.amazonaws.com/photos/5977479/medium.jpg?1483842118,,,1,0,FALSE,3,28.78830833,-82.60482,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
4994705,Sat Jul 06 2013 14:04:53 GMT-0400 (EDT),7/6/13,2013-07-06 18:04:53 UTC,Eastern Time (US & Canada),394194,iangas1,2017-01-23 14:43:43 UTC,2020-12-22 00:12:52 UTC,research,,https://www.inaturalist.org/observations/4994705,https://static.inaturalist.org/photos/6103701/medium.jpg?1485182639,,,3,0,FALSE,3,27.16616667,-80.14966667,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
5105985,2015/07/21 6:35 PM CDT,7/21/15,2015-07-21 23:35:00 UTC,Central Time (US & Canada),152645,la_mancha_en_movimiento,2017-02-14 04:04:43 UTC,2018-08-09 23:28:00 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/5105985,https://inaturalist-open-data.s3.amazonaws.com/photos/6277803/medium.jpg?1487044533,,,4,0,FALSE,,19.59440204,-96.39163971,1568,1568,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
5307570,2017/03/14 10:05 AM PDT,3/14/17,2017-03-14 17:05:00 UTC,Pacific Time (US & Canada),220795,neontetraploid,2017-03-14 21:11:27 UTC,2017-03-14 21:11:27 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/5307570,https://inaturalist-open-data.s3.amazonaws.com/photos/6571433/medium.jpeg?1489524943,,,0,0,TRUE,,34.13182421,-118.0191708,15,15,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
5374639,Thu Mar 16 2017 15:36:15 GMT-0400 (EDT),3/16/17,2017-03-16 19:36:15 UTC,Eastern Time (US & Canada),421931,spongmaster,2017-03-16 19:37:35 UTC,2017-03-16 19:46:42 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5374639,https://inaturalist-open-data.s3.amazonaws.com/photos/6596647/medium.jpg?1489693062,,,0,0,FALSE,3,27.79095409,-82.40125673,1566,1566,,,FALSE,,,,Centropomus undecimalis,Common Snook,Actinopterygii,49437
5909788,Sat Apr 22 2017 13:19:57 GMT-0400 (EDT),4/22/17,2017-04-22 17:19:57 UTC,Eastern Time (US & Canada),320048,brm85,2017-04-22 19:31:59 UTC,2017-06-14 05:23:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5909788,https://inaturalist-open-data.s3.amazonaws.com/photos/7370655/medium.jpg?1492889561,,,1,0,FALSE,3,25.74321167,-80.21183,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
6003686,2013/12/31 4:48 AM PST,12/31/13,2013-12-31 12:48:00 UTC,Pacific Time (US & Canada),8706,howardfriedman1,2017-04-29 04:56:04 UTC,2020-04-19 22:51:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6003686,https://inaturalist-open-data.s3.amazonaws.com/photos/7509442/medium.jpeg?1493439820,,,1,0,FALSE,,28.7997993,-82.58016229,61,61,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
6450197,2017/05/30 10:51 AM HST,5/30/17,2017-05-30 20:51:00 UTC,Hawaii,288697,jeffperry,2017-06-01 00:25:43 UTC,2017-12-23 00:02:54 UTC,research,,https://www.inaturalist.org/observations/6450197,https://static.inaturalist.org/photos/8150833/medium.jpeg?1496276309,,,3,0,FALSE,,28.79932833,-82.58829667,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
6450199,2017/05/30 10:54 AM HST,5/30/17,2017-05-30 20:54:00 UTC,Hawaii,288697,jeffperry,2017-06-01 00:25:44 UTC,2018-05-29 04:42:05 UTC,research,,https://www.inaturalist.org/observations/6450199,https://static.inaturalist.org/photos/8150840/medium.jpeg?1496276317,,,1,0,FALSE,,28.79927,-82.588375,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
6450224,2017/05/30 12:38 PM HST,5/30/17,2017-05-30 22:38:00 UTC,Hawaii,288697,jeffperry,2017-06-01 00:25:56 UTC,2017-06-01 02:11:20 UTC,research,,https://www.inaturalist.org/observations/6450224,https://static.inaturalist.org/photos/8150998/medium.jpeg?1496276523,,,1,0,FALSE,,28.79929833,-82.588255,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
6570891,Sun Jun 04 2017 16:37:50 GMT-0400 (EDT),6/4/17,2017-06-04 20:37:50 UTC,Eastern Time (US & Canada),165609,kylefitzroy,2017-06-10 04:45:19 UTC,2017-10-29 16:21:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6570891,https://inaturalist-open-data.s3.amazonaws.com/photos/8342026/medium.jpg?1497111936,,,2,0,FALSE,3,27.70128833,-82.738245,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
6808486,2017/06/12 7:31 PM UTC,6/12/17,,UTC,497509,diego_n,2017-06-26 15:30:31 UTC,2017-07-20 17:16:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6808486,https://inaturalist-open-data.s3.amazonaws.com/photos/8663306/medium.jpeg?1498490759,,,3,0,FALSE,,28.86846598,-95.44867694,15,15,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7109031,5/7/93,5/7/93,,Mountain Time (US & Canada),231584,montanaclan,2017-07-18 22:24:09 UTC,2017-07-19 02:23:47 UTC,research,CC-BY,https://www.inaturalist.org/observations/7109031,https://static.inaturalist.org/photos/9140901/medium.jpg?1500416543,,,2,0,FALSE,,18.109581,-77.297508,126388,126388,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7219225,2014/09/25 12:00 PM EST,9/25/14,2014-09-25 16:00:00 UTC,Eastern Time (US & Canada),154438,birdizlife,2017-07-26 16:37:30 UTC,2018-07-19 03:05:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7219225,https://inaturalist-open-data.s3.amazonaws.com/photos/9317452/medium.jpeg?1501086967,,,2,0,FALSE,,25.2866149,-80.8986502,84358,84358,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7244016,12/16/13,12/16/13,,Eastern Time (US & Canada),349183,joemdo,2017-07-28 04:47:25 UTC,2018-12-18 04:19:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7244016,https://inaturalist-open-data.s3.amazonaws.com/photos/9357088/medium.png?1501216926,,,1,0,FALSE,,25.22062723,-81.17042542,2908,2908,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7321739,Wed Aug 02 2017 12:43:35 GMT-0500 (CDT),8/2/17,2017-08-02 17:43:35 UTC,Central Time (US & Canada),18812,mako252,2017-08-02 18:34:45 UTC,2017-08-02 22:08:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7321739,https://inaturalist-open-data.s3.amazonaws.com/photos/9482227/medium.jpg?1501698900,,,1,0,FALSE,3,27.63199979,-97.23266696,22,22,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7552317,8/6/15,8/6/15,,Central Time (US & Canada),435598,jeffmci9,2017-08-19 05:42:16 UTC,2017-08-23 16:43:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7552317,https://inaturalist-open-data.s3.amazonaws.com/photos/9857524/medium.jpg?1503121308,,,1,0,FALSE,,27.83707847,-97.06764221,977,977,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7741026,Sun May 22 2016 14:54:56 GMT-0400 (EDT),5/22/16,2016-05-22 18:54:56 UTC,Eastern Time (US & Canada),607566,mrbryanames,2017-09-01 20:13:24 UTC,2017-10-29 12:55:37 UTC,research,,https://www.inaturalist.org/observations/7741026,https://static.inaturalist.org/photos/10160276/medium.jpg?1504296807,,,2,0,FALSE,3,28.23765548,-80.74254344,500,29619,obscured,,TRUE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7782629,2017/08/15 11:23 AM UTC,8/15/17,,UTC,577317,puertorey,2017-09-04 20:25:49 UTC,2017-09-13 13:05:12 UTC,research,,https://www.inaturalist.org/observations/7782629,https://static.inaturalist.org/photos/10227672/medium.jpg?1504556573,,,2,0,FALSE,,10.479575,-75.473205,,,,,FALSE,,,Robalo blanco,Centropomus undecimalis,Common Snook,Actinopterygii,49437
7853295,8/28/17 9:46,8/28/17,2017-08-28 14:46:05 UTC,Bogota,507709,laboquilla,2017-09-09 22:34:03 UTC,2017-09-13 14:02:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7853295,https://inaturalist-open-data.s3.amazonaws.com/photos/10342471/medium.jpg?1504996441,,Centropomus Undecimalis,2,0,FALSE,,10.487569,-75.4989947,4,4,,,FALSE,,manual,Robalo blanco,Centropomus undecimalis,Common Snook,Actinopterygii,49437
8220660,Mon Oct 02 2017 09:44:02 GMT-0500 (CDT),10/2/17,2017-10-02 14:44:02 UTC,Central Time (US & Canada),18812,mako252,2017-10-02 15:00:21 UTC,2018-03-04 22:00:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8220660,https://inaturalist-open-data.s3.amazonaws.com/photos/10896554/medium.jpg?1506956429,,,1,0,FALSE,3,27.58181194,-97.21855301,22,22,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
8280213,Sun Oct 01 2017 15:05:00 GMT-0400 (EDT),10/1/17,2017-10-01 19:05:00 UTC,Eastern Time (US & Canada),586118,jebarton,2017-10-06 12:19:08 UTC,2017-10-11 04:02:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8280213,https://inaturalist-open-data.s3.amazonaws.com/photos/10982660/medium.jpg?1507292356,,,2,0,FALSE,3,27.81702,-82.59310833,,,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
8486707,6/23/92 21:43,6/23/92,1992-06-24 04:43:00 UTC,Arizona,35478,mrfish33,2017-10-21 05:29:08 UTC,2018-08-09 01:42:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8486707,https://inaturalist-open-data.s3.amazonaws.com/photos/11318861/medium.jpg?1508562969,,,2,0,FALSE,,28.15698,-82.80464172,61,61,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
8536057,2017/10/03 11:24 AM MDT,10/3/17,2017-10-03 17:24:00 UTC,Mountain Time (US & Canada),624094,gzc_ricardo_virgen,2017-10-24 21:39:43 UTC,2018-02-21 20:12:52 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/8536057,https://inaturalist-open-data.s3.amazonaws.com/photos/11471568/medium.jpeg?1509166154,,,1,0,TRUE,,23.2494148,-106.4111425,9797,9797,,,FALSE,,,Robalo blanco,Centropomus undecimalis,Common Snook,Actinopterygii,49437
8954908,2017-11-26 10:26:25 AM EST,11/26/17,2017-11-26 15:26:25 UTC,Eastern Time (US & Canada),387980,danielleparrott,2017-11-27 18:33:26 UTC,2017-12-11 18:23:38 UTC,research,,https://www.inaturalist.org/observations/8954908,https://static.inaturalist.org/photos/12069437/medium.jpeg?1511807607,,,2,0,FALSE,2,28.79865405,-82.59321257,22014,22014,,,FALSE,gps,gps,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
9104716,Sat Dec 09 2017 17:08:24 GMT-0600 (CST),12/9/17,2017-12-09 23:08:24 UTC,Central Time (US & Canada),18812,mako252,2017-12-10 00:35:54 UTC,2018-03-04 21:42:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9104716,https://inaturalist-open-data.s3.amazonaws.com/photos/12299811/medium.jpg?1512866174,,,3,0,FALSE,3,27.55103703,-97.2360893,22,22,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
9112562,Sun Dec 10 2017 13:03:43 GMT-0500 (EST),12/10/17,2017-12-10 18:03:43 UTC,Eastern Time (US & Canada),586132,olivia_kirschner,2017-12-10 18:03:45 UTC,2017-12-10 20:41:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9112562,https://inaturalist-open-data.s3.amazonaws.com/photos/12312011/medium.jpg?1512930938,,,2,0,FALSE,3,27.8164377,-82.59718956,65,65,,,FALSE,,,Common Snook,Centropomus undecimalis,Common Snook,Actinopterygii,49437
